dx,opname,optype,approach,position,count
Lung cancer unspecified side,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Anal polyp ,Transanal excision,Colorectal,Open,Prone,1
End stage renal disease ,Vascular bypass,Vascular,Open,Supine,1
Leiomyosarcoma,Excision,Others,Open,Supine,1
Kidney transplant status,Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
"Cervical cancer, stage 1A1",Radical hysterectomy,Major resection,Robotic,Lithotomy,1
Appendix polyp ,Cecectomy,Colorectal,Open,Supine,1
Hydropneumothorax,Bullectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Undifferentiated pleomorphic sarcoma, pelvis",Exploratory laparotomy,Others,Open,Lithotomy,1
Crohn's disease,Exploratory laparotomy,Others,Open,Lithotomy,1
"Tubular adenoma, colon",Anterior resection,Colorectal,Open,Lithotomy,1
Renal cell carcinoma unspecified side,Exploratory laparotomy,Others,Open,Lithotomy,1
Lobular carcinoma in situ of breast right,Breast-conserving surgery,Breast,Open,Supine,1
Ovarian cyst,Pelvic tumorectomy,Major resection,Robotic,Supine,1
Ulcerative colitis ,Total proctocolectomy,Colorectal,Open,Lithotomy,1
Injury of portal or splenic vein other and unspecified injuries,Splenectomy,Biliary/Pancreas,Open,Supine,1
Lymphoma ,Small bowel segmental resection,Stomach,Open,Supine,1
Gallbladder cancer,Cholecystectomy,Biliary/Pancreas,Open,Supine,1
Invasive breast cancer right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Gallbladder stone with acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Lung nodule,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
"Kidney donor, live unrelated",Donor nephrectomy,Transplantation,Videoscopic,Supine,1
Marginal zone B-cell lymphoma,Total thyroidectomy,Thyroid,Open,Supine,1
Pancreatic pseudocyst,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Common bile duct stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Acute cholangitis,Exploration of common bile duct,Biliary/Pancreas,Videoscopic,Supine,1
"Follicular thyroid carcinoma, minimally invasive",Completion thyroidectomy,Thyroid,Open,Supine,1
"Kidney donor, live unrelated",Donor nephrectomy,Transplantation,Videoscopic,Left lateral decubitus,1
Liver function tests abnormality,Total thyroidectomy,Thyroid,Open,Supine,1
Chondromyxoid fibroma,Resection of sternum,Others,Open,Supine,1
Malignant neoplasm of lung,Excision,Others,Open,Supine,1
Pleural empyema ,Debridement of wound,Others,Videoscopic,Left lateral decubitus,1
"Cholangiocarcinoma, intrahepatic",Hemihepatectomy,Hepatic,Videoscopic,Reverse Trendelenburg,1
Gastrointestinal stromal tumor of stomach ,Lung wedge resection,Stomach,Open,Supine,1
Medullary thyroid carcinoma,Mediastinal lymph node dissection,Others,Videoscopic,Left lateral decubitus,1
Abdominal pain,Exploratory laparotomy,Others,Open,Supine,1
Nonfunctioning adrenal adenoma,Adrenalectomy,Others,Videoscopic,Prone,1
Renal cell carcinoma left,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Thymoma ,Lung wedge resection,Minor resection,Videoscopic,Supine,1
end stage renal disease ,Removal of permanent catheter,Vascular,Open,Supine,1
Pancreatic cancer ,Wound revision,Others,Open,Supine,1
Ductal carcinoma in situ of breast with microinvasion unspecified side,Simple mastectomy,Breast,Open,Supine,1
Duodenal obstruction,Small bowel segmental resection,Stomach,Open,Supine,1
Adenocarcinoma of unknown primary site ,Excision,Others,Open,Left lateral decubitus,1
Hemothorax,Bleeding control,Others,Videoscopic,Left lateral decubitus,1
Chronic cholecystitis,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,1
Liver recipient,Liver transplantation,Transplantation,Open,Supine,1
"Colon cancer, sigmoid",Low anterior resection,Colorectal,Open,Supine,1
"Gastric submucosal tumor, malignant early",Lung wedge resection,Stomach,Open,Supine,1
Parathyroid disease,Parathyroidectomy,Thyroid,Open,Supine,1
Nontuberculous mycobacterial infection,Clagett procedure,Others,Open,Left lateral decubitus,1
Malignant gastric outlet obstruction,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Lung cancer right,Lung lobectomy,Major resection,Robotic,Left lateral decubitus,1
"Colon cancer, sigmoid",Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Malignant neoplasm of ureter left,Nephroureterectomy,Major resection,Open,Right lateral decubitus,1
Osteosarcoma,Inguinal lymph node dissection,Colorectal,Open,Supine,1
Unspecified gastric cancer ,Total gastrectomy,Stomach,Videoscopic,Supine,1
"Neoplasm of gastrointestine, uncertain behavior",Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Intussusception,Exploratory laparotomy,Others,Open,Supine,1
Colon cancer,Anterior resection,Colorectal,Videoscopic,Trendelenburg,1
Arteriovenous fistula malfunction,Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
Ileus ,Adhesiolysis,Others,Open,Lithotomy,1
Vulvar cancer unknown stage ,Excision,Others,Open,Lithotomy,1
Malignant neoplasm of pancreas tail,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Pelvic mass,Diagnostic laparoscopy,Minor resection,Videoscopic,Lithotomy,1
Pelvic mass,Excision,Colorectal,Open,Lithotomy,1
Pancreatic disease,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
"Gastric submucosal tumor, malignant unspecified",Gastric wedge resection,Stomach,Videoscopic,Supine,1
Esophageal cancer ,Incision and drainage,Others,Open,Supine,1
Hepatocellular carcinoma,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
End stage renal disease,Removal of Hickman catheter,Vascular,Open,Supine,1
Hemoptysis ,Lung lobectomy,Major resection,Open,Left lateral decubitus,1
Cecal cancer,Hemicolectomy,Colorectal,Open,Lithotomy,1
"Phyllodes tumor of breast, benign unspecified side",Excision,Breast,Open,Supine,1
Non-small cell lung cancer right,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Breast cancer right,Mastectomy,Breast,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, benign",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Intussusception ,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Esophageal cancer ,Total esophagectomy,Others,Open,Left lateral decubitus,1
Liposarcoma,Debulking surgery,Others,Open,Supine,1
Breast cancer right,Mediastinal lymph node dissection,Others,Videoscopic,Right lateral decubitus,1
Breast cancer right,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Atherosclerosis of lower limb with intermittent claudication,Arteriovenous fistula,Vascular,Open,Supine,1
Adenocarcinoma of colon,Low anterior resection,Colorectal,Open,Lithotomy,1
"Intraductal papillary mucinous neoplasm of pancreas, moderate dysplasia",Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Adenocarcinoma of prostate,Radical prostatectomy,Major resection,Robotic,Lithotomy,1
Pleural empyema ,Elosser operation,Others,Open,Left lateral decubitus,1
Cervical cancer unknown stage,Radical parametrectomy,Major resection,Robotic,Lithotomy,1
Arteriovenous fistula malfunction,Arteriovenous fistula,Vascular,Open,Supine,1
Rectal prolapse,Rectal prolapse operation,Colorectal,Open,Supine,1
Rectal cancer,Transanal endoscopic microsurgery,Colorectal,Open,Right lateral decubitus,1
Choledochal cyst,Revision of small intestine anastomosis,Stomach,Open,Supine,1
Alcoholic liver cirrhosis with ascites,Bleeding control,Others,Open,Supine,1
Gastric subepithelial mass ,Gastric wedge resection,Stomach,Videoscopic,Supine,1
Colorectal polyp,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
"Gastrointestinal stromal tumor of rectum, malignant",Excision,Others,Open,Supine,1
Renal cell carcinoma left,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Rectovaginal fistula,Ileostomy repair,Colorectal,Open,Supine,1
bladder cancer,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Crohn's disease unspecified,Incision and drainage,Others,Open,Prone,1
Congenital cystic adenomatoid malformation of lung ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Gallbladder anomaly,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Gastric diverticulum ,Hepaticojejunostomy,Biliary/Pancreas,Robotic,Supine,1
Acute peritonitis,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
"Fallopian tubal cancer, stage 4",Colostomy,Others,Open,Supine,1
Renal cell carcinoma,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Unspecified gastric cancer,Gastrojejunostomy,Stomach,Videoscopic,Supine,1
Early gastric cancer,Total gastrectomy,Stomach,Robotic,Supine,1
Varicose vein of lower limb with inflammation,Ligation and stripping,Vascular,Open,Supine,1
Ductal carcinoma in situ of breast unspecified side,Simple mastectomy,Breast,Open,Supine,1
Ischemic colitis,Total colectomy,Colorectal,Open,Supine,1
"Injury of colon with open wound, other and unspecified injuries",Colostomy repair,Colorectal,Open,Supine,1
Endometrial cancer unknown stage,Pelvic tumorectomy,Major resection,Robotic,Supine,1
Ovarian cancer,Hartmann procedure,Colorectal,Open,Lithotomy,1
Breast cancer left,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Other trauma of chest wall,Incision and drainage,Others,Open,Supine,1
Bilateral inguinal hernia recurrent,Hernia repair,Colorectal,Open,Supine,1
Pelvic mass,Excision,Others,Open,Supine,1
Ischemic colitis,Ileostomy repair,Colorectal,Open,Supine,1
Rectal cancer,Colostomy,Colorectal,Open,Lithotomy,1
"Congestive heart failure, diastolic",Incisional hernia repair,Colorectal,Open,Supine,1
Hyperhidrosis,Thoracic sympathectomy,Others,Videoscopic,Sitting,1
Empyema necessitatis ,Empyemectomy,Minor resection,Open,Left lateral decubitus,1
Hematochezia,Anterior resection,Colorectal,Open,Supine,1
Mediastinal germ cell tumor,Excision,Others,Open,Supine,1
Pericardial cyst,Excision,Others,Open,Left lateral decubitus,1
Empyema without bronchopleural fistula ,Clagett procedure,Others,Open,Supine,1
Gynecomastia,Simple mastectomy,Breast,Open,Supine,1
Breast cancer right,Biopsy,Others,Videoscopic,Supine,1
Lung cancer unspecified side,Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,1
Breast cancer right,Completion mastectomy,Breast,Open,Supine,1
Lymphoma,Excision,Others,Open,Prone,1
Breast cancer left,Arteriovenous fistula,Vascular,Open,Supine,1
Lung cancer,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Arteriovenous fistula, acquired",Arteriovenous fistula,Vascular,Open,Supine,1
Pleural effusion ,Peritoneal mass excision,Others,Videoscopic,Lithotomy,1
Epithelial ovarian cancer unknown stage unspecified side,Excision,Others,Videoscopic,Lithotomy,1
Aortic aneurysm,Endovascular aneurysmal repair,Vascular,Open,Supine,1
Giant cell tumor,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
"Colon cancer, rectosigmoid",Debulking surgery,Others,Open,Lithotomy,1
Mediastinal cyst,Excision,Others,Open,Left lateral decubitus,1
Thyroglossal duct cyst,Excision,Others,Videoscopic,Supine,1
Duodenal cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,1
Leiomyosarcoma ,Exploratory laparotomy,Others,Open,Lithotomy,1
Lung nodule ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Breast cancer left,Breast reconstruction,Breast,Open,Supine,1
Colitis,Appendectomy,Colorectal,Videoscopic,Supine,1
Renal cell carcinoma left,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Liver cirrhosis Child-Pugh C,Liver transplantation,Transplantation,Open,Supine,1
Malignant neoplasm of pleura,Biopsy,Others,Videoscopic,Right lateral decubitus,1
Myoma uteri ,Myomectomy,Minor resection,Videoscopic,Lithotomy,1
Persons encountering health services for prophylactic surgery for risk-factors related to malignant neoplasms,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Unclassified endometrial cancer,Radical hysterectomy,Major resection,Open,Supine,1
"Neuroendocrine tumor of pancreas, G1",Median pancreatectomy,Biliary/Pancreas,Robotic,Supine,1
Rectal cancer,Transanal excision,Colorectal,Open,Right lateral decubitus,1
Small intestine-small intestine fistula,Exploratory laparotomy,Others,Open,Supine,1
right inguinal hernia ,Exploration of wound,Others,Open,Supine,1
Pleural empyema ,Incision and drainage,Others,Open,Left lateral decubitus,1
Repair of inguinal hernia ( right / open / indirect )  : Laparoscopic,Inguinal hernia,Colorectal,Videoscopic,Supine,1
hemorrhoids ,Hemorrhoidectomy,Colorectal,Open,Prone,1
Abnormal findings on diagnostic imaging of lung ,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Crohn's disease,Total colectomy,Colorectal,Open,Lithotomy,1
Biliary acute pancreatitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Malignant neoplasm of salivary gland,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Asymptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,1
Anal fissure,Sphincteroplasty,Colorectal,Open,Prone,1
Unilateral inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,1
Hepatocellular carcinoma,Hemicolectomy,Colorectal,Open,Supine,1
Systemic lupus erythematosus ,Embolectomy,Vascular,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, invasive",Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Colonic polyp,Low anterior resection,Colorectal,Open,Lithotomy,1
Ovarian cyst,Salpingectomy,Minor resection,Videoscopic,Lithotomy,1
Pelvic mass,Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,1
Colon perforation ,Hemicolectomy,Colorectal,Open,Supine,1
Stomach cancer advanced,Subtotal gastrectomy,Stomach,Open,Supine,1
Diabetes mellitus,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
descending colon cancer ,Exploratory laparotomy,Others,Open,Lithotomy,1
Malignant neoplasm of retroperitoneum,Excision,Colorectal,Open,Supine,1
Crohn's disease ,Exploratory laparotomy,Others,Open,Supine,1
Breast disease,Axillary lymph node dissection,Breast,Open,Supine,1
Hepatocellular carcinoma ,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Non-small cell lung cancer left,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Abnormal finding on lung imaging,Lung wedge resection,Minor resection,Videoscopic,Supine,1
Lymph node enlargement ,Excision,Others,Open,Supine,1
Ground-glass opacity ,Lung sgmentectomy,Minor resection,Videoscopic,Supine,1
Invasive bladder cancer ,Colostomy,Colorectal,Open,Supine,1
Lymphoma,Excision,Others,Open,Supine,1
Aspergilloma ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Lung cancer left,Pneumonectomy,Major resection,Open,Supine,1
Lung cancer right,Resection of chest wall with reconstruction,Others,Open,Left lateral decubitus,1
infiltrating ductal carcinoma of breast,Biopsy,Others,Open,Right lateral decubitus,1
Radiocontrast media hypersensitivity,Anterior resection,Colorectal,Open,Trendelenburg,1
Undifferentiated pleomorphic sarcoma of upper limb ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Hepatoblastoma,Liver transplantation,Transplantation,Open,Supine,1
"Neuroendocrine tumor of pancreas, G1",Median pancreatectomy,Biliary/Pancreas,Open,Supine,1
Klatskin tumor,Gastrojejunostomy,Stomach,Open,Supine,1
Endometrial cancer unknown stage,Radical hysterectomy,Major resection,Robotic,Supine,1
Keloid scar,Excision,Others,Open,Supine,1
Endometrial cancer unknown stage,Exploratory laparotomy,Major resection,Open,Supine,1
Lung nodule,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Early gastric cancer (C1690),Pylorus preserving gastrectomy,Stomach,Robotic,Supine,1
"Rectal carcinoid, benign",Transanal excision,Colorectal,Open,Prone,1
Lymphadenopathy,Biopsy,Colorectal,Videoscopic,Supine,1
"Colon cancer, sigmoid",Anterior resection,Colorectal,Open,Sitting,1
Chronic appendicitis,Appendectomy,Colorectal,Videoscopic,Supine,1
Neck mass ,Selective neck dissection,Others,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, borderline",Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Osteosarcoma ,Wide excision,Others,Open,Right lateral decubitus,1
Hepatocellular carcinoma,Hemihepatectomy,Hepatic,Videoscopic,Reverse Trendelenburg,1
Atrophic vaginitis,Parathyroidectomy,Thyroid,Open,Supine,1
"Colon cancer, ascending",Excision,Others,Open,Lithotomy,1
end stage renal disease,Closure of arteriovenous fistula,Vascular,Open,Supine,1
Extramammary Paget's disease,Transanal excision,Colorectal,Open,Prone,1
fungus ball ,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Empyema necessitatis,Debridement of wound,Others,Videoscopic,Left lateral decubitus,1
Metastasis of unknown origin,Radical excision of iliac lymph nodes,Colorectal,Open,Lithotomy,1
Anal fistula,Exploratory laparotomy,Others,Open,Prone,1
Arteriovenous fistula malfunction,Revision of arteriovenous fistula,Vascular,Open,Supine,1
"Gastrointestinal stromal tumor of stomach, benign",Gastric wedge resection,Stomach,Videoscopic,Lithotomy,1
"Colon cancer, hepatic flexure",Hemicolectomy,Colorectal,Videoscopic,Supine,1
Pancreatic cancer ,Incisional hernia repair,Colorectal,Open,Supine,1
End stage kidney disease on dialysis,Thyroid lobectomy,Thyroid,Open,Supine,1
Gallbladder polyp,Extended cholecystectomy,Biliary/Pancreas,Open,Supine,1
Osteosarcoma of femur,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Achalasia,Fundoplication,Others,Videoscopic,Supine,1
Thromboembolism,Embolectomy,Vascular,Open,Supine,1
"Thrombosis, inferior vena cava",Resection of inferior vena cava,Vascular,Open,Supine,1
Gastrointestinal stromal tumor of rectum,Ileostomy repair,Colorectal,Open,Supine,1
Malignant melanoma ,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Hepatocellular carcinoma,Hemihepatectomy,Hepatic,Open,Lithotomy,1
"Embolism and thrombosis, femoral artery",Embolectomy,Vascular,Open,Supine,1
Melanoma,Radical excision of iliac lymph nodes,Colorectal,Open,Supine,1
Crohn's disease,Exploratory laparotomy,Others,Open,Supine,1
Non-small cell lung cancer left,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Renal cell carcinoma unspecified side,Colostomy,Colorectal,Open,Supine,1
Endometriosis,Excision,Others,Open,Supine,1
Breast abscess ,Cleaning of wound,Others,Open,Supine,1
Myoma uteri,Total hysterectomy ,Major resection,Videoscopic,Lithotomy,1
Diffuse interstitial lung disease ,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
"Cervical cancer, stage 1A1",Radical hysterectomy,Major resection,Videoscopic,Lithotomy,1
Breast cancer unspecified side,Thyroid lobectomy,Thyroid,Open,Supine,1
breast disease ,Excision,Breast,Open,Supine,1
"Colon cancer, sigmoid",Paraaortic lymph node dissection,Others,Open,Lithotomy,1
Lung cancer unspecified side,Sleeve lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Familial adenomatous polyposis,Total proctocolectomy,Colorectal,Videoscopic,Lithotomy,1
Breast cancer right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Indirect inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,1
Carcinoma in situ of cervix ,Hysterectomy,Major resection,Videoscopic,Supine,1
Hamartoma,Excision,Others,Videoscopic,Left lateral decubitus,1
"hepatocellular carcinoma, status post pei",Bleeding control,Others,Open,Supine,1
Choledochal cyst ,Excision,Biliary/Pancreas,Open,Lithotomy,1
Lung cancer right,Biopsy,Others,Videoscopic,Left lateral decubitus,1
Nontuberculous mycobacterial infection,Bleeding control,Others,Videoscopic,Left lateral decubitus,1
Infiltrating lobular carcinoma of breast right,Excision,Others,Open,Supine,1
Remnant stomach cancer early,Remnant total gastrectomy,Stomach,Open,Supine,1
Remnant stomach cancer unspecified,Remnant total gastrectomy,Stomach,Videoscopic,Supine,1
Gastrointestinal stromal tumor of stomach ,Distal gastrectomy,Stomach,Robotic,Supine,1
"Colon cancer, ascending",Low anterior resection,Colorectal,Open,Supine,1
"Epithelial ovarian cancer, stage 3C",Staging laparotomy,Minor resection,Open,Lithotomy,1
Biliary colic without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Right inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Videoscopic,Supine,1
Cervical cancer unknown stage ,Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Hepatocellular carcinoma ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Liposarcoma ,Ileostomy,Colorectal,Open,Supine,1
Ulcerative colitis ,Ileostomy repair,Colorectal,Open,Supine,1
Marginal zone B-cell lymphoma ,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Rectovaginal fistula,Fistulectomy,Colorectal,Open,Lithotomy,1
End stage renal disease ,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,1
Mycotic aneurysm,Aortoiliac bypass,Vascular,Open,Supine,1
Leiomyosarcoma,Exploratory laparotomy,Others,Open,Supine,1
Metastatic cancer to the bone ,Diagnostic pelviscopy,Minor resection,Videoscopic,Lithotomy,1
Hepatocellular carcinoma,Hernia repair,Colorectal,Open,Supine,1
Nontuberculous mycobacterial infection,Debridement of wound,Others,Open,Right lateral decubitus,1
Pneumoperitoneum,Exploratory laparotomy,Others,Open,Supine,1
End stage kidney disease on dialysis,Removal of permanent catheter,Vascular,Open,Supine,1
Intestinal perforation,Exploratory laparotomy,Others,Open,Supine,1
Postoperative bleeding,Bleeding control,Others,Open,Left lateral decubitus,1
Metastatic cancer to the peritoneum,Exploratory laparotomy,Others,Open,Supine,1
"Neoplasm of chest wall, uncertain behavior",Excision,Others,Open,Supine,1
Hepatocellular carcinoma ,Excision,Others,Open,Left lateral decubitus,1
Anal bleeding,Anterior resection,Colorectal,Videoscopic,Supine,1
Rectal cancer,Extended hemihepatectomy,Hepatic,Open,Supine,1
Epithelial ovarian cancer unknown stage unspecified side,Hysterectomy,Major resection,Videoscopic,Supine,1
Ileitis ,Exploratory laparotomy,Others,Open,Supine,1
Condyloma acuminata ,Electrocauterization,Others,Open,Prone,1
breast cancer,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Angiosarcoma ,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Carcinoid tumor of lung right,Excision,Others,Open,Left lateral decubitus,1
Colon obstruction,Hemicolectomy,Colorectal,Open,Lithotomy,1
Nontuberculous mycobacterial infection,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
"Colon cancer, sigmoid",Hemihepatectomy,Hepatic,Open,Supine,1
Esophageal hiatal hernia,Hernia repair,Stomach,Videoscopic,Lithotomy,1
Rectal cancer,Ileostomy,Colorectal,Open,Supine,1
Pancreatic cancer ,Pancreatosplenectomy,Biliary/Pancreas,Open,Supine,1
"Colon cancer, sigmoid",Peritoneal mass excision,Others,Videoscopic,Lithotomy,1
Gastrointestinal stromal tumor,Lung wedge resection,Stomach,Open,Supine,1
Hamartoma of lung right,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Cervical cancer unknown stage,Biopsy,Others,Videoscopic,Left lateral decubitus,1
Crohn's disease moderate,Exploratory laparotomy,Others,Open,Supine,1
Lymphadenitis,Selective neck dissection,Others,Open,Supine,1
Pancreatic tail cancer ,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Rectal cancer,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Hemoptysis ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Solitary fibrous tumor,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Tricuspid regurgitation,Bleeding control,Others,Open,Supine,1
Obesity ,Partial gastrectomy,Stomach,Open,Supine,1
"Atypical ductal hyperplasia, breast",Excision,Others,Open,Supine,1
Lung cancer unspecified side,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Antenatal care for high risk pregnancy,Modified Shirodkar operation,Others,Open,Lithotomy,1
Squamous cell papilloma,Transanal excision,Colorectal,Open,Prone,1
Ampulla of vater cancer,Gastrojejunostomy,Stomach,Open,Supine,1
Carcinoid tumor of lung right,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Hepatocellular carcinoma,Mediastinal lymph node dissection,Others,Videoscopic,Supine,1
kidney transplantation,Closure of arteriovenous fistula,Vascular,Open,Supine,1
Bladder cancer,Hernia repair,Colorectal,Open,Supine,1
Acute appendicitis with peritoneal abscess,Appendectomy,Colorectal,Open,Supine,1
Mediastinal mass ,Excision,Others,Videoscopic,Left lateral decubitus,1
Alcoholic hepatic failure without coma,Liver transplantation,Transplantation,Open,Supine,1
"Colon cancer, ascending",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Pancreatic disease ,Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Rectal cancer ,Transanal endoscopic microsurgery,Colorectal,Open,Prone,1
Rectal cancer ,Exploratory laparotomy,Others,Open,Prone,1
Pleural disease ,Excision,Others,Videoscopic,Left lateral decubitus,1
Gastrointestinal stromal tumor of duodenum ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Emphysema,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Rectal cancer ,Excision,Others,Open,Lithotomy,1
Bladder cancer ,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Cervical cancer unknown stage,Total hysterectomy ,Major resection,Videoscopic,Lithotomy,1
Colonic polyp ,Segmental resection of colon,Colorectal,Open,Supine,1
Venous malformation,Ligation and stripping,Vascular,Open,Prone,1
Hepatocellular carcinoma,Hepaticojejunostomy,Biliary/Pancreas,Open,Supine,1
early gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,1
Focal nodular hyperplasia of liver,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,1
Retroperitoneal sarcoma,Excision,Others,Open,Lithotomy,1
Pelvic mass,Debulking surgery,Major resection,Open,Lithotomy,1
Invasive bladder cancer ,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Intracranial hemorrhage,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,1
Right inguinal hernia,Hernia repair,Colorectal,Open,Lithotomy,1
Empyema without bronchopleural fistula,Exploration,Others,Videoscopic,Supine,1
Condyloma acuminata,Excision,Colorectal,Open,Prone,1
Thymic cyst,Thymectomy,Others,Videoscopic,Supine,1
Deep vein thrombosis ,Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
Esophageal perforation,Decortication,Others,Videoscopic,Right lateral decubitus,1
Unspecified gastric cancer ,Total gastrectomy,Stomach,Robotic,Supine,1
Pseudomyxoma peritonei,Debulking surgery,Others,Open,Supine,1
Adenocarcinoma of lung right,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Tracheostomy status,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Advanced gastric cancer,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Colorectal cancer,Total colectomy,Colorectal,Open,Right lateral decubitus,1
Rectovaginal fistula ,Transanal excision,Colorectal,Open,Prone,1
Unclassified endometrial cancer,Extended hysterectomy,Major resection,Open,Lithotomy,1
Papillary thyroid adenoma,Thyroid lobectomy,Thyroid,Robotic,Supine,1
Epithelial ovarian cancer unknown stage,Staging laparotomy,Minor resection,Open,Lithotomy,1
Desmoid tumor in familial adenomatous polyposis,Excision,Others,Open,Supine,1
"Neuroendocrine tumor of rectum, G1",Transanal excision,Colorectal,Open,Prone,1
