"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Unilateral inguinal hernia","Hernia repair","Colorectal","Open","Supine","3","Colorectal","55.2","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Stomach cancer early","Distal gastrectomy","Stomach","Videoscopic","Supine","3","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Unspecified gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","3","Stomach","68.8","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Perianal abscess","Incision and drainage","Others","Open","Prone","3","Others","76.7","Minor","Soft Tissue / Access / Misc","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Intraductal papillary mucinous neoplasm of pancreas, invasive","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","52.9","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Pancreatic cancer","Exploratory laparotomy","Others","Open","Supine","3","Others","76.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Aneurysm, abdominal aorta","Endovascular aneurysmal repair","Vascular","Open","Supine","3","Vascular","76.4","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Revision | Supine","Est.Duration:2-5hr"
"Lung cancer right","Lung lobectomy","Major resection","Videoscopic","Supine","3","Major resection","70.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Pancreatic cancer","Pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","77.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Gallbladder stonewithout obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","3","Biliary/Pancreas","63.0","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer","Excision","Others","Open","Supine","3","CraniTumorSkullBase","75.0","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer, rectosigmoid","Exploratory laparotomy","Others","Open","Lithotomy","3","Others","71.8","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Chronic kidney disease","Kidney transplantation","Transplantation","Open","Supine","3","Transplantation","72.4","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Varicose vein of lower limb","Ligation and stripping","Vascular","Open","Prone","3","Vascular","70.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Lung cancer left","Pneumonectomy","Major resection","Videoscopic","Right lateral decubitus","3","Major resection","70.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:3-6hr"
"Hyperparathyroidism","Subtotal parathyroidectomy","Thyroid","Open","Supine","3","Thyroid","76.2","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal prolapse","Delorme's operation","Colorectal","Open","Prone","3","Colorectal","75.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Mediastinal mass","Thymectomy","Others","Videoscopic","Supine","3","Others","67.3","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Advanced gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Reverse Trendelenburg","2","Stomach","70.3","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Trendelenburg","Est.Duration:2-5hr"
"Nontuberculous mycobacterial infection","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","2","Major resection","61.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gross hematuria","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","2","Minor resection","85.1","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Advanced gastric cancer","Diagnostic laparoscopy","Others","Videoscopic","Supine","2","Others","72.9","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Pelvic organ prolapse","Radical hysterectomy","Major resection","Videoscopic","Lithotomy","2","Major resection","72.8","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Squamous cell carcinoma of lung left","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","2","Major resection","62.3","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Advanced gastric cancer","Exploratory laparotomy","Others","Open","Supine","2","Others","72.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Solitary pulmonary nodule","Lung sgmentectomy","Minor resection","Videoscopic","Left lateral decubitus","2","Minor resection","68.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Alcoholic liver cirrhosis with esophageal varix with ascites","Liver transplantation","Transplantation","Open","Supine","2","Transplantation","51.1","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Metastatic cancer to the lung","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","2","Minor resection","64.5","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Benign neoplasm of appendix","Appendectomy","Colorectal","Videoscopic","Supine","2","Colorectal","63.6","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Rectal prolapse","Rectal prolapse operation","Colorectal","Open","Lithotomy","2","Colorectal","75.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Aneurysm, renal artery","Aortorenal bypass","Vascular","Open","Supine","2","Vascular","58.2","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Abnormal electrocardiogram","Arteriovenous fistula","Vascular","Open","Supine","2","Vascular","89.7","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Exploratory laparotomy","Others","Open","Supine","2","Others","72.3","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Jejunal cancer","Small bowel segmental resection","Stomach","Open","Supine","2","Stomach","63.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Gastric submucosal tumor, unknown behavior","Gastric wedge resection","Stomach","Videoscopic","Supine","2","Stomach","66.4","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Primary hyperoxaluria","Liver transplantation","Transplantation","Open","Supine","2","Transplantation","73.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Biliary atresia","Liver transplantation","Transplantation","Open","Supine","2","Transplantation","77.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Antenatal care for normal pregnancy unspecified duration","Cesarean section","Others","Open","Supine","2","EvacSubduralHematoma","54.6","Major","Neuro / Spine","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Cervical cancer, stage 2A2","Radical hysterectomy","Major resection","Videoscopic","Supine","2","Major resection","70.6","Major","Abdominal / GI","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Liver donor","Liver transplantation","Transplantation","Open","Supine","2","Transplantation","68.0","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Colon cancer","Low anterior resection","Colorectal","Open","Lithotomy","2","Colorectal","66.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Liver cirrhosis with hepatitis BChild-Pugh C","Liver transplantation","Transplantation","Open","Supine","2","Transplantation","68.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Liposarcoma","Exploratory laparotomy","Others","Open","Lithotomy","2","Others","81.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Fibroadenoma of breast right","Excision","Breast","Open","Supine","2","CraniTumorSkullBase","64.6","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Gallbladder sludge without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","2","Biliary/Pancreas","62.4","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Tubulovillous adenoma, colon","Hemicolectomy","Colorectal","Open","Supine","2","Colorectal","64.5","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Pancreatic cyst","Spleen preserving distal pancreatectomy","Biliary/Pancreas","Videoscopic","Supine","2","Biliary/Pancreas","84.9","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Atherosclerosis obliterans without gangrene","Endarterectomy","Vascular","Open","Supine","2","Carotid","64.7","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, sigmoid","Exploratory laparotomy","Others","Open","Supine","2","Others","74.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Cadaveric donor","Nephrectomy","Transplantation","Open","Supine","2","Transplantation","86.4","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Paraganglioma","Excision","Colorectal","Open","Supine","2","CraniTumorSkullBase","71.3","Minor","Neuro / Spine","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Umbilical hernia","Hernia repair","Colorectal","Open","Supine","2","Colorectal","70.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Esophageal cancer","Esophagectomy","Others","Robotic","Supine","2","Others","69.8","Major","Soft Tissue / Access / Misc","Robotic","Thoracic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Krukenberg tumor unspecified side","Salpingo-oophorectomy","Minor resection","Videoscopic","Lithotomy","2","Minor resection","67.9","Major","Abdominal / GI","Laparoscopic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Metastatic cancer to the lung unspecified side","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","2","Minor resection","59.9","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Acute appendicitis with perforation","Appendectomy","Colorectal","Videoscopic","Supine","2","Colorectal","61.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"End stage renal disease","Exploratory laparotomy","Others","Open","Supine","2","Others","72.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Hyperhidrosis","Thoracic sympathectomy","Others","Videoscopic","Sitting","2","Others","79.8","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Sitting","Est.Duration:<2hr"
"Appendix mucocele","Appendectomy","Colorectal","Videoscopic","Supine","2","Colorectal","68.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Myoma uteri","Myomectomy","Minor resection","Videoscopic","Supine","2","Minor resection","71.6","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer, ascending","Extended hemicolectomy","Colorectal","Open","Supine","2","Colorectal","73.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Thrombocytopenia","Splenectomy","Biliary/Pancreas","Videoscopic","Supine","2","Biliary/Pancreas","68.4","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Appendix mucocele","Ileocecectomy","Colorectal","Videoscopic","Supine","2","Colorectal","69.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Breast cancer unspecified side","Wide excision","Others","Open","Supine","2","Others","63.4","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Pelvic mass","Exploratory laparotomy","Major resection","Open","Supine","2","Others","81.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Neurogenic tumor","Excision","Others","Open","Supine","2","CraniTumorSkullBase","73.8","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Videoscopic","Supine","2","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, rectosigmoid","Low anterior resection","Colorectal","Videoscopic","Supine","2","Colorectal","71.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Abnormal finding on lung imaging","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","2","Minor resection","67.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Pilonidal sinus","Excision","Others","Open","Prone","2","CraniTumorSkullBase","65.4","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Endometrial cancer unknown stage","Extended hysterectomy","Major resection","Robotic","Lithotomy","2","Major resection","68.2","Major","Abdominal / GI","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
